sample_id,run_id,flowcell_id,flowcell_version,donor_id,type,raw_path
COLO829_10,NW_COLO829_Spiking_09112023,PAQ24241,R10,COLO829,tumour,/path/to/datas/NW_COLO829_Spiking_09112023/COLO829_10/20231109_1344_3D_PAQ24241_02ab5c9d
COLO829_20,NW_COLO829_Spiking_09112023,PAQ24706,R10,COLO829,tumour,/path/to/datas/NW_COLO829_Spiking_09112023/COLO829_20/20231109_1344_3C_PAQ24706_f5182dfc
COLO829_30,NW_COLO829_Spiking_09112023,PAQ24090,R10,COLO829,tumour,/path/to/datas/NW_COLO829_Spiking_09112023/COLO829_30/20231109_1344_3B_PAQ24090_e04f1673
COLO829_40,NW_COLO829_Spiking_09112023,PAQ23797,R10,COLO829,tumour,/path/to/datas/NW_COLO829_Spiking_09112023/COLO829_40/20231109_1344_3A_PAQ23797_3191d1ff
COLO829_50,NW_COLO829_Spiking_09112023,PAQ45153,R10,COLO829,tumour,/path/to/datas/NW_COLO829_Spiking_09112023/COLO829_50/20231109_1344_1F_PAQ45153_24055b74
COLO829_60,NW_COLO829_Spiking_09112023,PAQ24629,R10,COLO829,tumour,/path/to/datas/NW_COLO829_Spiking_09112023/COLO829_60/20231109_1344_1E_PAQ24629_9f50d3ef
COLO829_70,NW_COLO829_Spiking_09112023,PAQ43904,R10,COLO829,tumour,/path/to/datas/NW_COLO829_Spiking_09112023/COLO829_70/20231109_1344_1D_PAQ43904_2d8736de
COLO829_80,NW_COLO829_Spiking_09112023,PAQ23235,R10,COLO829,tumour,/path/to/datas/NW_COLO829_Spiking_09112023/COLO829_80/20231109_1344_1C_PAQ23235_b8e70991
COLO829_90,NW_COLO829_Spiking_09112023,PAQ22562,R10,COLO829,tumour,/path/to/datas/NW_COLO829_Spiking_09112023/COLO829_90/20231109_1344_1B_PAQ22562_de88dd3e
COLO829_BL,NW_COLO829_Spiking_09112023,PAQ23729,R10,COLO829,normal,/path/to/datas/NW_COLO829_Spiking_09112023/COLO829_Normal/20231109_1344_3E_PAQ23729_ba437345
COLO829,NW_COLO829_Spiking_09112023,PAQ22128,R10,COLO829,tumour,/path/to/datas/NW_COLO829_Spiking_09112023/COLO829_Tumour/20231109_1344_1A_PAQ22128_6fcbf12d
COLO829,NW_COLO829_Spiking_09112023,PAQ22128,R10,COLO829,tumour,/path/to/datas/NW_COLO829_Spiking_09112023/COLO829_Tumour/20231109_1542_2A_PAQ22128_66b74849
COLO829_10,NW_COLO829_Spiking_Reload_16112023,PAQ15887,R10,COLO829,tumour,/path/to/datas/NW_COLO829_Spiking_Reload_16112023/COLO829_10/20231116_1108_3E_PAQ15887_44d4deeb
COLO829_20,NW_COLO829_Spiking_Reload_16112023,PAQ22650,R10,COLO829,tumour,/path/to/datas/NW_COLO829_Spiking_Reload_16112023/COLO829_20/20231116_1108_3D_PAQ22650_4c368daa
COLO829_30,NW_COLO829_Spiking_Reload_16112023,PAQ21961,R10,COLO829,tumour,/path/to/datas/NW_COLO829_Spiking_Reload_16112023/COLO829_30/20231116_1108_3C_PAQ21961_22814479
COLO829_40,NW_COLO829_Spiking_Reload_16112023,PAQ23833,R10,COLO829,tumour,/path/to/datas/NW_COLO829_Spiking_Reload_16112023/COLO829_40/20231116_1108_3B_PAQ23833_77cdffe1
COLO829_50,NW_COLO829_Spiking_Reload_16112023,PAQ22155,R10,COLO829,tumour,/path/to/datas/NW_COLO829_Spiking_Reload_16112023/COLO829_50/20231116_1108_3A_PAQ22155_a253b075
COLO829_60,NW_COLO829_Spiking_Reload_16112023,PAQ23831,R10,COLO829,tumour,/path/to/datas/NW_COLO829_Spiking_Reload_16112023/COLO829_60/20231116_1108_1E_PAQ23831_c5612d5b
COLO829_70,NW_COLO829_Spiking_Reload_16112023,PAQ15703,R10,COLO829,tumour,/path/to/datas/NW_COLO829_Spiking_Reload_16112023/COLO829_70/20231116_1108_1D_PAQ15703_5e44eec6
COLO829_80,NW_COLO829_Spiking_Reload_16112023,PAQ14896,R10,COLO829,tumour,/path/to/datas/NW_COLO829_Spiking_Reload_16112023/COLO829_80/20231116_1108_1C_PAQ14896_be363049
COLO829_90,NW_COLO829_Spiking_Reload_16112023,PAQ15009,R10,COLO829,tumour,/path/to/datas/NW_COLO829_Spiking_Reload_16112023/COLO829_90/20231116_1108_1B_PAQ15009_2db1d920
COLO829_BL,NW_COLO829_Spiking_Reload_16112023,PAQ28464,R10,COLO829,normal,/path/to/datas/NW_COLO829_Spiking_Reload_16112023/COLO829_Normal/20231116_1108_3F_PAQ28464_7abb7948
